id,front,back,deck
0,あ,a,0
1,い,i,0
2,う,u,0
3,え,e,0
4,お,o,0
5,か,ka,0
6,き,ki,0
7,く,ku,0
8,け,ke,0
9,こ,ko,0
10,さ,sa,0
11,し,shi,0
12,す,su,0
13,せ,se,0
14,そ,so,0
15,た,ta,0
16,ち,chi,0
17,つ,tsu,0
18,て,te,0
19,と,to,0
20,な,na,0
21,に,ni,0
22,ぬ,nu,0
23,ね,ne,0
24,の,no,0
25,は,ha,0
26,ひ,hi,0
27,ふ,fu,0
28,へ,he,0
29,ほ,ho,0
30,ま,ma,0
31,み,mi,0
32,む,mu,0
33,め,me,0
34,も,mo,0
35,や,ya,0
36,ゆ,yu,0
37,よ,yo,0
38,ら,ra,0
39,り,ri,0
40,る,ru,0
41,れ,re,0
42,ろ,ro,0
43,わ,wa,0
44,を,wo,0
45,ん,n,0
46,が,ga,0
47,ぎ,gi,0
48,ぐ,gu,0
49,げ,ge,0
50,ご,go,0
51,ざ,za,0
52,じ,ji,0
53,ず,zu,0
54,ぜ,ze,0
55,ぞ,zo,0
56,だ,da,0
57,ぢ,ji,0
58,づ,zu,0
59,で,de,0
60,ど,do,0
61,ば,ba,0
62,び,bi,0
63,ぶ,bu,0
64,べ,be,0
65,ぼ,bo,0
66,ぱ,pa,0
67,ぴ,pi,0
68,ぷ,pu,0
69,ぺ,pe,0
70,ぽ,po,0
